stype,ltype,clr,vn,vin,way_state,state1,state2
科鲁泽 LS,科鲁泽 Redline 320T双离合 欢快版(GB6)(SRF) 19,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;,1,LSGKB54A6KV405308,托盘车(0天),正常 ,正常 
科鲁泽 LS,科鲁泽 Redline 320T双离合 欢快版(GB6)(SRF) 19,陨铁灰;高冷灰;,1,LSGKB54A7KV403647,托盘车(0天),正常 ,正常 
科鲁泽 LS,科鲁泽 Redline 320T双离合 欢快版(GB6)(SRF) 19,陨铁灰;高冷灰;,1,LSGKB54A4KV402486,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;,1,LSGKB54A1LV013550,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;,1,LSGKB54A5LV014880,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A5LV015298,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A1LV016769,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A7LV018221,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A9LV016874,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A0LV015743,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A5LV016709,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A9LV015868,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A1LV014701,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A5LV017679,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A5LV017567,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A7LV017909,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A3LV014957,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A0LV014589,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A8LV017501,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A2LV016909,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A4LV018161,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB54A0LV014320,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,陨铁灰;高冷灰;,1,LSGKB54A5LV015110,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,陨铁灰;高冷灰;,1,LSGKB54A7LV015559,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,陨铁灰;高冷灰;,1,LSGKB54A1LV015170,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 Redline 320T双离合 爽快版 20,珍珠黑;曜黑;墨玉黑;耀岩黑;碳晶黑;极夜黑;霸道黑;,1,LSGKB54A1LV014116,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;霓红;,1,LSGKB5415LV036541,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;霓红;,1,LSGKB5413LV036957,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,风尚红;玛瑙红;纳帕红;烈焰红;火山红;枫叶红;珊瑚红;日出红;焰光红;任性红;霓红;,1,LSGKB5415LV036636,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV035513,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV037527,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV038603,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5411LV035886,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV036706,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV038389,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5419LV037983,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5414LV035915,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5418LV037165,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5418LV036663,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV037480,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5417LV037819,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5413LV037915,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV035463,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV036227,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV038354,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV036936,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV035720,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV036782,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV037077,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV035365,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV036903,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV035627,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV038536,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV035489,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV037832,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV036030,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5417LV036248,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5413LV038417,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5417LV038050,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV037693,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5418LV036419,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV038069,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5411LV035144,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV037060,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5411LV035497,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV037491,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV036017,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5411LV035483,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV036037,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV036853,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5417LV038002,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV037436,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5411LV037489,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5417LV038131,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5414LV035803,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5413LV038644,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5418LV037537,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV038151,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5418LV037635,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5411LV036665,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5414LV036451,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5419LV037143,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5419LV036560,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV035494,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV036524,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5419LV038325,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5413LV037574,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV036799,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5413LV037008,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV037412,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5414LV035929,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5410LV037970,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5413LV036439,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5412LV037517,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5414LV035400,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5416LV034409,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5417LV038405,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5414LV038362,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5415LV036863,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB541XLV035398,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5419LV037661,托盘车(0天),正常 ,正常 
科鲁泽 LT,科鲁泽 RS 330T自动 畅快版 20,闪电白;雪域白;幻白;茉莉白;象牙白;极光白;珍珠白;冰原白;流云白;天真白;,1,LSGKB5419LV035084,托盘车(0天),正常 ,正常 
