"生产","入库","移动","VIN","车型","价格","配置","颜色","位置","库龄","点款","虚报","促销","标签","订单","加装"
"-","-","-","LSGZG53LXKS113150","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","在途- VDC->VSC(3天)",0,"","","","","",""
"-","-","-","LSGZG53L4KS108364","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","在途- VDC(101天)",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","墨玉黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"-","-","-","目前可CALL","迈锐宝XL",219900,"全新迈锐宝XL 550T 锐智版(B-SRF)(redline) 19","黯影灰","- ",0,"","","","","",""
"2019-08-23","2019-09-23","2020-01-17","LSGZG53L1KS088963","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","风尚红","店内- 展厅",170,"2019/11/8 10:10","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5418LV036419","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5412LV037436","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2020-01-01","2020-01-01","LSGKB5414LV035400","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2020-01-01","2020-01-01","LSGKB5415LV036782","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB541XLV036227","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2020-01-01","2020-01-01","LSGKB5410LV037077","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5419LV037143","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5412LV036903","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-28","2020-01-01","2020-01-01","LSGKB5412LV037517","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-28","2019-12-31","2019-12-31","LSGKB5415LV037480","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-28","2019-12-31","2019-12-31","LSGKB541XLV037491","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-28","2019-12-26","2019-12-26","LSGKB5410LV037693","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",134,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5416LV038069","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5417LV038050","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-27","2019-12-27","LSGKB5412LV038151","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5418LV037635","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-26","2019-12-26","LSGKB5414LV038278","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-25","2019-12-25","LSGKB5418LV038073","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-25","2019-12-25","LSGKB5410LV037970","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB541XLV037832","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB541XLV037748","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5415LV038192","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5413LV037915","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5413LV037574","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2020-01-01","2020-01-01","LSGKB5415LV037527","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5417LV038131","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5417LV037819","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-31","2019-12-31","LSGKB5417LV038002","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5419LV037661","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5419LV037983","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5411LV038223","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-29","2019-12-28","2019-12-28","LSGKB5414LV037812","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",133,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5410LV038536","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5415LV038354","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5410LV038603","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5412LV038389","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-28","2019-12-28","LSGKB5413LV038417","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-09-30","2019-12-31","2019-12-31","LSGKB5414LV038362","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",132,"","","","","",""
"2019-11-15","2019-12-26","2019-12-31","LSGKB5413LV060580","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","网点- 华阳远大籍田",86,"2019/12/31 15:16","","","","",""
"2019-11-15","2019-12-27","2019-12-28","LSGKB5417LV060758","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","网点- 华阳远大前程",86,"2019/12/28 15:36","","","","",""
"2019-12-29","2020-01-23","2020-01-23","LSGZG53L4KS124936","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","闪电白","库房- 3号库",42,"","","","","2020-01-05 展厅 王海川：杨智才",""
"-","-","-","LSGZG53L9KS124804","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","闪电白","在途- VSC(17天)",0,"","","","","",""
"-","-","-","LSGZG53L4KS121034","迈锐宝XL",204900,"全新迈锐宝XL 550T 锐联版(B-SRF)(redline) 19","黯影灰","在途- VSC(13天)",0,"","","","","",""
"-","-","-","无资源","迈锐宝XL",194900,"全新迈锐宝XL 550T 锐动版(B-SRF)(18)(redline) 19","黯影灰","- ",0,"","","","","【无资源】2019-12-23 08:58 梁波 郑超",""
"2019-06-02","2019-12-26","2020-01-01","LSGZG5394KS070493","迈锐宝XL",174900,"全新迈锐宝XL 535T 锐联版(B-SRF) 19","闪电白","库房- 3号库",252,"","","","","2019-12-15 展厅 王思钰：刘舒婷",""
"-","-","-","LSGZG5398KS122255","迈锐宝XL",174900,"全新迈锐宝XL 535T 锐联版(B-SRF) 19","闪电白","在途- VDC->VSC(3天)",0,"","","","","",""
"-","-","-","无资源","迈锐宝XL",164900,"全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19","墨玉黑","- ",0,"","","","","【无资源】2019-09-09 09:32 赵伟 张新",""
"-","-","-","无资源","迈锐宝XL",164900,"全新迈锐宝XL 535T 锐动版(B-SRF)(Black) 19","闪电白","- ",0,"","","","","【无资源】2020-01-05 10:27 赵川 范世平",""
"2019-06-26","2019-12-28","2019-12-28","LSGKB54A2KV379337","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版(GB6) 19","闪电白","库房- 3号库",228,"","","展厅：400 二网：200","","2019-12-23 展厅 张苗苗：胥锡雄",""
"-","-","-","无资源","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版(GB6) 19","闪电白","- ",0,"","","","","【无资源】2020-01-05 09:13 杜云龙 张新",""
"-","-","-","LSGKH8416KY066791","沃兰多",139900,"沃兰多 530T 自动劲享版(7Seat)(SRF)(GB6) 19.5","闪电白","在途- VDC(71天)",0,"","","","","",""
"-","-","-","LSGKH8413KY066568","沃兰多",139900,"沃兰多 530T 自动劲享版(7Seat)(SRF)(GB6) 19.5","闪电白","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGKH841XKY067412","沃兰多",139900,"沃兰多 530T 自动劲享版(7Seat)(SRF)(GB6) 19.5","陨铁灰","在途- VDC(72天)",0,"","","","","",""
"-","-","-","LSGKH8410KY066172","沃兰多",139900,"沃兰多 530T 自动劲享版(7Seat)(SRF)(GB6) 19.5","陨铁灰","在途- VDC->VSC(12天)",0,"","","","","",""
"-","-","-","LSGKH8418KY065156","沃兰多",139900,"沃兰多 530T 自动劲享版(7Seat)(SRF)(GB6) 19.5","陨铁灰","在途- VSC(12天)",0,"","","","","",""
"2019-12-03","2020-01-16","2020-01-16","LSGXC83L5KV434757","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","月光银","库房- 3号库",68,"","","","","",""
"-","-","-","LSGXC83L5KV436265","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGXC83LXKV435872","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGXC83L3KV432666","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","闪电白","在途- VSC(13天)",0,"","","","","",""
"-","-","-","LSGXC83L0KV439882","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGXC83L9KV440223","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","目前可CALL","探界者",225900,"探界者 550T 9速 四驱拓界版Base(Black)(RS&redline)(Liftgate)(GB6) 19.5","闪电白","- ",0,"","","","","",""
"2019-07-31","2019-12-31","2019-12-31","LSGKB54A6KV405308","科鲁泽",104900,"科鲁泽 Redline 320T双离合 欢快版(GB6)(SRF) 19","风尚红","库房- 3号库",193,"","","","","",""
"2019-11-26","2020-01-21","2020-01-21","LSGKH8419KY067207","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","库房- 3号库",75,"","","","","",""
"2019-11-26","2020-01-21","2020-01-21","LSGKH8410KY067290","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","库房- 3号库",75,"","","","","",""
"2019-12-06","2020-01-21","2020-01-21","LSGKH8410KY069010","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","玄铁灰","库房- 3号库",65,"","","","","",""
"-","-","-","LSGKH8412KY069283","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","在途- VDC->VSC(13天)",0,"","","","","",""
"-","-","-","LSGKH8412KY070451","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGKH8410KY069637","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","在途- VDC(52天)",0,"","","","","",""
"-","-","-","LSGKH8415KY070296","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","在途- VDC(52天)",0,"","","","","",""
"-","-","-","LSGKH8419KY070012","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","闪电白","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGKH8414KY067051","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","在途- VSC(12天)",0,"","","","","",""
"-","-","-","LSGKH8411KY069453","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGKH8418KY070597","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","在途- VDC(51天)",0,"","","","","",""
"-","-","-","LSGKH8414KY070404","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","在途- VDC(51天)",0,"","","","","",""
"-","-","-","LSGKH8418KY070096","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","在途- VDC(51天)",0,"","","","","",""
"-","-","-","下周可CALL","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","- ",0,"","","","","",""
"-","-","-","下周可CALL","沃兰多",149900,"沃兰多 Redline 530T 自动纵享版(7Seat)(PU&Bt)(GB6) 19.5","陨铁灰","- ",0,"","","","","",""
"2019-10-12","2019-11-14","2019-11-14","LSGXC8358KV423575","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","玄铁灰","库房- 3号库",120,"","","","","",""
"-","-","-","LSGXC8354KV439076","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC->VSC(13天)",0,"","","","","",""
"-","-","-","LSGXC8352KV439951","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGXC8355KV439958","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGXC8350KV439995","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGXC8350KV439835","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC(55天)",0,"","","","","",""
"-","-","-","LSGXC8350KV439950","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC->VSC(4天)",0,"","","","","",""
"-","-","-","LSGXC8350KV434859","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VSC(13天)",0,"","","","","",""
"-","-","-","LSGXC8350KV439026","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC->VSC(13天)",0,"","","","","",""
"-","-","-","LSGXC835XKV436960","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGXC8354KV436954","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","闪电白","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGXC8357KV440643","探界者",189900,"探界者 535T 驰界版(Black)(SRF)(leather)(GB6) 19.5","珍珠黑","在途- VDC->VSC(5天)",0,"","","","","",""
"2019-08-21","2019-12-28","2019-12-28","LSGEN54AXLD071070","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","闪电白","库房- 3号库",172,"","","","","2019-12-22 展厅 秦雪：郑继锐",""
"-","-","-","LSGEN54A6LD137940","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","闪电白","在途- VDC(29天)",0,"","","","","2020-01-17 展厅 秦雪：卢春梅",""
"-","-","-","LSGEN54A7LD139308","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","闪电白","在途- VDC(29天)",0,"","","","","",""
"-","-","-","LSGEN54A4LD139542","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","闪电白","在途- VDC(29天)",0,"","","","","",""
"-","-","-","LSGEN54A9LD129878","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","风尚红","在途- VDC(40天)",0,"","","","","",""
"-","-","-","LSGEN54A3LD135210","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","陨铁灰","在途- VDC(31天)",0,"","","","","",""
"-","-","-","LSGEN54A2LD135022","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","陨铁灰","在途- VDC(31天)",0,"","","","","",""
"-","-","-","LSGEN54A1LD134301","科沃兹",96900,"新科沃兹 Redline 325T自动欣尚版(BT)(GB6) 20","陨铁灰","在途- VDC(31天)",0,"","","","","",""
"2019-05-20","2019-06-12","2019-06-12","LSGXC8358KV348473","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","库房- 3号库",265,"2019/9/5 9:58","","展厅：400 二网：200","","",""
"2019-11-01","2020-01-16","2020-01-16","LSGXC8356KV427155","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","玄铁灰","库房- 3号库",100,"","","","","",""
"2019-11-01","2020-01-16","2020-01-16","LSGXC835XKV427241","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","玄铁灰","库房- 3号库",100,"","","","","",""
"-","-","-","LSGXC835XKV436683","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC(61天)",0,"","","","","",""
"-","-","-","LSGXC8352KV434412","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGXC8354KV434251","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGXC8358KV437654","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGXC8358KV437525","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(4天)",0,"","","","","",""
"-","-","-","LSGXC8351KV437379","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(4天)",0,"","","","","",""
"-","-","-","LSGXC8357KV437340","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(4天)",0,"","","","","",""
"-","-","-","LSGXC8356KV437538","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","闪电白","在途- VDC->VSC(4天)",0,"","","","","",""
"-","-","-","LSGXC8351KV438905","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGXC8356KV439337","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC->VSC(3天)",0,"","","","","",""
