"生产","入库","移动","VIN","车型","价格","配置","颜色","位置","库龄","点款","虚报","促销","标签","订单","加装"
"-","-","-","LSGXC8353KV439246","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC->VSC(4天)",0,"","","","","",""
"-","-","-","LSGXC8355KV438941","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGXC8355KV439281","探界者",199900,"探界者 535T 驭界版(Black)(Liftgate)(GB6) 19.5","珍珠黑","在途- VDC->VSC(3天)",0,"","","","","",""
"2019-06-15","2019-08-26","2020-01-09","LSGEM83A1LG004135","创酷",127900,"新一代创酷 325T 自动趣版(BLACK)(Redline)(LED) 20","风尚红","店内- 门口",239,"2019/10/23 17:21","","展厅：200 二网：100","","",""
"2019-06-15","2019-08-27","2019-08-27","LSGEM83AXLG004005","创酷",127900,"新一代创酷 325T 自动趣版(BLACK)(Redline)(LED) 20","陨铁灰","库房- 3号库",239,"2019/10/23 17:21","2019/10/30 0:00","展厅：200 二网：100","","",""
"2019-06-21","2020-01-03","2020-01-03","LSGEM83A6LG004924","创酷",127900,"新一代创酷 325T 自动趣版(BLACK)(Redline)(LED) 20","闪电白","库房- 3号库",233,"","","","","",""
"2019-06-21","2020-01-03","2020-01-03","LSGEM83A4LG004727","创酷",127900,"新一代创酷 325T 自动趣版(BLACK)(Redline)(LED) 20","闪电白","库房- 3号库",233,"","","","","",""
"-","-","-","无资源","创酷",127900,"新一代创酷 325T 自动趣版(BLACK)(Redline)(LED) 20","珍珠黑","- ",0,"","","","","【无资源】2020-01-03 15:52 瞿玉兰 张苗苗",""
"2019-11-26","2019-12-10","2020-01-15","LSGEN54A5LD118294","科沃兹",99900,"新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20","闪电白","店内- 门口",75,"2019/12/16 13:40","","","","",""
"-","-","-","LSGEN54A9LD131288","科沃兹",99900,"新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20","闪电白","在途- VDC(38天)",0,"","","","","",""
"-","-","-","LSGEN54A1LD131415","科沃兹",99900,"新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20","闪电白","在途- VDC(38天)",0,"","","","","",""
"-","-","-","LSGEN54A3LD131450","科沃兹",99900,"新科沃兹 Redline 325T自动欣耀版(maple sugar)(GB6) 20","闪电白","在途- VDC(38天)",0,"","","","","",""
"-","-","-","LSGXC83L9KV433773","探界者",245900,"探界者 550T 9速 四驱捍界版(Black)(RS&redline)(GB6) 19.5","珍珠黑","在途- VDC->VSC(3天)",0,"","","","","",""
"2019-07-26","2019-08-26","2019-08-26","LSGEM8299LG008831","创酷",127900,"新一代创酷 335T CVT潮版(Black)(Redline) 20","风尚红","库房- 3号库",198,"2019/10/23 17:21","2019/10/30 0:00","展厅：300 二网：100","","",""
"2019-07-26","2019-08-26","2019-08-26","LSGEM8291LG008788","创酷",127900,"新一代创酷 335T CVT潮版(Black)(Redline) 20","闪电白","库房- 3号库",198,"2019/10/23 17:21","2019/10/30 0:00","展厅：300 二网：100","","",""
"2019-07-26","2019-08-26","2019-08-26","LSGEM8299LG008764","创酷",127900,"新一代创酷 335T CVT潮版(Black)(Redline) 20","珍珠黑","库房- 3号库",198,"2019/10/23 17:21","","展厅：300 二网：100","","",""
"-","-","-","目前可CALL","创酷",127900,"新一代创酷 335T CVT潮版(Black)(Redline) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","创酷",127900,"新一代创酷 335T CVT潮版(Black)(Redline) 20","陨铁灰","- ",0,"","","","","",""
"2019-07-29","2020-01-01","2020-01-01","LSGEN54A7LD057563","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","库房- 3号库",195,"","","","","",""
"2019-07-29","2020-01-01","2020-01-01","LSGEN54A5LD057805","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","库房- 3号库",195,"","","","","",""
"2019-11-18","2019-12-10","2020-01-12","LSGEN54A6LD116554","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","陨铁灰","店内- 门口",83,"","","","","",""
"2019-12-04","2020-01-03","2020-01-03","LSGEN54A8LD121111","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","库房- 3号库",67,"","","","","",""
"-","-","-","LSGEN54A8LD142329","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","在途- VDC(25天)",0,"","","","","",""
"-","-","-","LSGEN54A7LD143309","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","在途- VDC(25天)",0,"","","","","",""
"-","-","-","LSGEN54A5LD145656","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","陨铁灰","在途- VDC(20天)",0,"","","","","",""
"-","-","-","LSGEN54A0LD145922","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","陨铁灰","在途- VDC(20天)",0,"","","","","",""
"-","-","-","LSGEN54A2LD145811","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","陨铁灰","在途- VDC(20天)",0,"","","","","",""
"-","-","-","LSGEN54A1LD145539","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","陨铁灰","在途- VDC(19天)",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","科沃兹",89900,"新科沃兹 325T自动欣悦版(BT)(GB6) 20","闪电白","- ",0,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5419LV036560","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","2020-01-16 展厅 张苗苗：李彦",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5411LV036665","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5412LV036853","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5418LV036663","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-09-27","2019-12-31","2019-12-31","LSGKB5414LV036451","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","库房- 3号库",135,"","","","","",""
"2019-12-02","2019-12-23","2020-01-03","LSGKB5419LV064679","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","店内- 展厅",69,"","","","","",""
"-","-","-","LSGKB541XLV086285","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5418LV086298","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5411LV086305","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5418LV086267","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5414LV086282","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5414LV086301","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB541XLV086318","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5411LV086286","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5413LV086323","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","闪电白","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB541XLV084763","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5414LV086069","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5412LV087348","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGKB5419LV087735","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGKB5416LV087689","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC->VSC(5天)",0,"","","","","",""
"-","-","-","LSGKB5416LV087790","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(22天)",0,"","","","","",""
"-","-","-","LSGKB5415LV087795","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(22天)",0,"","","","","",""
"-","-","-","LSGKB5411LV087812","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(22天)",0,"","","","","",""
"-","-","-","LSGKB5418LV087726","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(22天)",0,"","","","","",""
"-","-","-","LSGKB5415LV087800","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(22天)",0,"","","","","",""
"-","-","-","LSGKB5412LV086099","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5418LV086317","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5416LV086431","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5416LV086137","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","风尚红","在途- VDC(24天)",0,"","","","","",""
"-","-","-","LSGKB5413LV078996","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","在途- VSC(10天)",0,"","","","","2019-12-29 展厅 王思钰：唐磊",""
"-","-","-","LSGKB5419LV092286","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","在途- VDC(18天)",0,"","","","","",""
"-","-","-","LSGKB5412LV092467","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","在途- VDC(18天)",0,"","","","","",""
"-","-","-","LSGKB5411LV092640","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","在途- VDC(18天)",0,"","","","","",""
"-","-","-","LSGKB5417LV078838","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","在途- VSC(12天)",0,"","","","","",""
"-","-","-","LSGKB5410LV092645","科鲁泽",114900,"科鲁泽 RS 330T自动 畅快版 20","陨铁灰","在途- VDC(17天)",0,"","","","","",""
"2019-08-26","2019-12-28","2019-12-28","LSGKB54A5LV015110","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","陨铁灰","库房- 3号库",167,"","","","","",""
"2019-08-26","2019-12-28","2019-12-28","LSGKB54A7LV015559","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","陨铁灰","库房- 3号库",167,"","","","","",""
"2019-08-26","2019-12-25","2019-12-25","LSGKB54A1LV015170","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","陨铁灰","库房- 3号库",167,"","","","","",""
"2019-08-27","2019-12-28","2019-12-28","LSGKB54A0LV015743","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",166,"","","","","",""
"2019-08-28","2019-12-28","2019-12-28","LSGKB54A5LV016709","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",165,"","","","","",""
"2019-08-28","2019-12-28","2019-12-28","LSGKB54A5LV017567","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",165,"","","","","",""
"2019-08-28","2019-12-31","2019-12-31","LSGKB54A1LV016769","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",165,"","","","","",""
"2019-08-28","2019-12-27","2019-12-27","LSGKB54A2LV016909","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",165,"","","","","",""
"2019-08-28","2019-12-25","2019-12-25","LSGKB54A9LV016874","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",165,"","","","","",""
"2019-08-29","2019-12-28","2019-12-28","LSGKB54A5LV017679","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",164,"","","","","",""
"2019-08-29","2019-12-27","2019-12-27","LSGKB54A7LV017909","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",164,"","","","","",""
"2019-08-29","2019-12-28","2019-12-28","LSGKB54A8LV017501","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",164,"","","","","",""
"2019-08-30","2019-12-27","2020-01-15","LSGKB54A4LV018161","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","网点- 华阳远大籍田",163,"","","","","",""
"2019-08-30","2019-12-31","2019-12-31","LSGKB54A7LV018221","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",163,"","","","","",""
"2019-09-10","2019-10-13","2019-11-18","LSGTN849XLY011829","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","陨铁灰","网点- 大邑金明",152,"2019/11/21 13:33","","","","",""
"2019-09-12","2019-10-21","2019-11-05","LSGTN8494LY012216","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","闪电白","网点- 郫县鸿合",150,"2019/11/5 16:10","","","","",""
"2019-09-16","2019-11-20","2020-01-16","LSGTN8495LY012483","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","风尚红","店内- 门口",146,"2019/12/2 14:29","","","","",""
"2019-09-17","2019-11-20","2019-11-20","LSGTN8498LY012476","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","陨铁灰","库房- 3号库",145,"","","","","",""
"2019-09-17","2019-11-20","2019-11-20","LSGTN8498LY012672","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","陨铁灰","库房- 3号库",145,"","","","","",""
"2019-09-19","2019-11-20","2020-01-09","LSGTN8494LY013074","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","珍珠黑","店内- 门口",143,"","","","","",""
"-","-","-","LSGTN8490LY018854","创界",149900,"创界 435T Redline CVT锋锐版(Info3.5) 20","闪电白","在途- VDC(102天)",0,"","","","","",""
"2019-08-26","2019-12-25","2019-12-25","LSGKB54A5LV015298","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",167,"","","","","",""
"2019-08-27","2019-12-25","2019-12-25","LSGKB54A9LV015868","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",166,"","","","","",""
"2019-08-27","2020-01-01","2020-01-01","LSGKB54A1LV014701","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","库房- 3号库",166,"","","","","",""
"2019-09-26","2019-12-31","2019-12-31","LSGKB54A5LV014880","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","风尚红","库房- 3号库",136,"","","","","",""
"-","-","-","LSGKB54A9LV094653","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","闪电白","在途- VDC->VSC(3天)",0,"","","","","",""
"-","-","-","LSGKB54A7LV091699","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","风尚红","在途- VDC(18天)",0,"","","","","",""
"-","-","-","LSGKB54A2LV092842","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","风尚红","在途- VDC->VSC(3天)",0,"","","","","",""
"-","-","-","LSGKB54A6LV092763","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","风尚红","在途- VDC(17天)",0,"","","","","",""
"-","-","-","LSGKB54A9LV090036","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","风尚红","在途- VDC(20天)",0,"","","","","",""
"-","-","-","LSGKB54A9LV089808","科鲁泽",109900,"科鲁泽 Redline 320T双离合 爽快版 20","风尚红","在途- VDC(20天)",0,"","","","","",""
"2019-06-21","2020-01-01","2020-01-01","LSGEM82A6LG005119","创酷",109900,"新一代创酷 325T 自动劲版(BLACK) 20","闪电白","库房- 3号库",233,"","","","","",""
"2019-06-21","2020-01-01","2020-01-01","LSGEM82A7LG004674","创酷",109900,"新一代创酷 325T 自动劲版(BLACK) 20","闪电白","库房- 3号库",233,"","","","","",""
"2019-06-23","2020-01-01","2020-01-06","LSGEM82A1LG004685","创酷",109900,"新一代创酷 325T 自动劲版(BLACK) 20","闪电白","店内- 展厅",231,"","","","","",""
"2019-06-24","2019-12-28","2019-12-28","LSGEM82A1LG005447","创酷",109900,"新一代创酷 325T 自动劲版(BLACK) 20","珍珠黑","库房- 3号库",230,"","","","","",""
"2019-09-11","2019-10-13","2020-01-09","LSGTN8395LY011903","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","陨铁灰","网点- 彭州辰威",151,"2019/11/5 16:10","","","","",""
"2019-09-17","2019-11-20","2019-11-20","LSGTN8395LY012811","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","风尚红","库房- 3号库",145,"","","","","",""
"2019-09-17","2019-11-20","2019-11-20","LSGTN8398LY012592","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","风尚红","库房- 3号库",145,"","","","","",""
"2019-09-17","2019-11-27","2019-11-27","LSGTN8391LY012725","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","风尚红","库房- 3号库",145,"","","","","",""
"2019-09-19","2019-11-20","2019-12-22","LSGTN8399LY013010","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","闪电白","店内- 展厅",143,"","","","","",""
"2019-09-19","2019-11-20","2019-11-20","LSGTN8392LY012331","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","陨铁灰","库房- 3号库",143,"","","","","",""
"2019-09-19","2019-11-25","2019-11-25","LSGTN8390LY012988","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","陨铁灰","库房- 3号库",143,"","","","","",""
"2019-09-19","2019-11-25","2019-11-25","LSGTN8396LY013059","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","珍珠黑","库房- 3号库",143,"","","","","",""
"2019-09-19","2019-11-25","2019-11-25","LSGTN8399LY013265","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","珍珠黑","库房- 3号库",143,"","","","","",""
"2019-09-20","2019-10-16","2020-01-04","LSGKB5412LV031054","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","闪电白","店内- 门口",142,"2019/12/10 13:01","2019/10/30 0:00","展厅：400 二网：200","","",""
"-","-","-","LSGKB5415LV077249","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","闪电白","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGKB5418LV077830","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","闪电白","在途- VDC->VSC(13天)",0,"","","","","",""
"-","-","-","LSGKB5410LV078096","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","风尚红","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGKB5417LV081089","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","陨铁灰","在途- VDC->VSC(14天)",0,"","","","","",""
"-","-","-","LSGKB5410LV080656","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","陨铁灰","在途- VDC->VSC(15天)",0,"","","","","",""
"-","-","-","LSGKB5417LV076961","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","陨铁灰","在途- VSC(13天)",0,"","","","","",""
"-","-","-","LSGKB5412LV085728","科鲁泽",119900,"科鲁泽 RS 330T自动 痛快版 20","星夜蓝","在途- VDC->VSC(14天)",0,"","","","","",""
"2019-09-10","2019-10-13","2019-11-17","LSGTN8399LY011709","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","风尚红","网点- 内江晟隆",152,"2019/11/21 13:33","","","","",""
"2019-09-16","2019-11-25","2020-01-01","LSGTN8398LY012527","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","风尚红","库房- 3号库",146,"","","","","",""
"2019-09-17","2019-11-20","2020-01-09","LSGTN8393LY012628","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","风尚红","店内- 展厅",145,"2019/11/21 14:00","","","","",""
"2019-09-20","2019-11-18","2019-11-18","LSGTN8393LY013472","创界",159900,"创界 435T Redline CVT驰锐版(Black)(B&SRF)(Info3.5) 20","闪电白","库房- 3号库",142,"","","","","",""
"2019-10-09","2020-01-14","2020-01-14","LSGTN8392LY015469","创界",179900,"创界 435T RS 9AT悍锐版(黑顶) 20","风尚红","库房- 3号库",123,"","","","","",""
"-","-","-","目前可CALL","创酷",109900,"新一代创酷 325T 自动劲版(BLACK) 20","闪电白","- ",0,"","","","","",""
"-","-","-","目前可CALL","创酷",125900,"新一代创酷 325T LT AT(BLACK) 20","珍珠黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","创酷",125900,"新一代创酷 325T LT AT(BLACK) 20","珍珠黑","- ",0,"","","","","",""
"-","-","-","目前可CALL","科鲁泽",89900,"科鲁泽 320T手动 欣快版 20","风尚红","- ",0,"","","","","",""